MRNA,Date
25.739999771118164,2019-04-25
26.260000228881836,2019-04-26
25.139999389648438,2019-04-29
26.030000686645508,2019-04-30
26.399999618530273,2019-05-01
28.34000015258789,2019-05-02
27.200000762939453,2019-05-03
27.100000381469727,2019-05-06
24.549999237060547,2019-05-07
23.540000915527344,2019-05-08
23.260000228881836,2019-05-09
24.920000076293945,2019-05-10
24.43000030517578,2019-05-13
23.59000015258789,2019-05-14
23.1200008392334,2019-05-15
23.459999084472656,2019-05-16
23.079999923706055,2019-05-17
22.600000381469727,2019-05-20
22.700000762939453,2019-05-21
22.0,2019-05-22
21.3799991607666,2019-05-23
21.829999923706055,2019-05-24
21.540000915527344,2019-05-28
21.700000762939453,2019-05-29
21.489999771118164,2019-05-30
20.780000686645508,2019-05-31
19.850000381469727,2019-06-03
19.469999313354492,2019-06-04
17.700000762939453,2019-06-05
17.940000534057617,2019-06-06
17.520000457763672,2019-06-07
15.670000076293945,2019-06-10
16.0,2019-06-11
16.299999237060547,2019-06-12
16.15999984741211,2019-06-13
15.399999618530273,2019-06-14
15.770000457763672,2019-06-17
15.739999771118164,2019-06-18
15.5,2019-06-19
15.180000305175781,2019-06-20
14.699999809265137,2019-06-21
14.039999961853027,2019-06-24
13.770000457763672,2019-06-25
13.699999809265137,2019-06-26
14.34000015258789,2019-06-27
14.640000343322754,2019-06-28
14.729999542236328,2019-07-01
14.399999618530273,2019-07-02
15.3100004196167,2019-07-03
14.960000038146973,2019-07-05
14.289999961853027,2019-07-08
14.850000381469727,2019-07-09
14.479999542236328,2019-07-10
14.4399995803833,2019-07-11
14.199999809265137,2019-07-12
14.319999694824219,2019-07-15
14.140000343322754,2019-07-16
14.029999732971191,2019-07-17
14.260000228881836,2019-07-18
14.109999656677246,2019-07-19
14.050000190734863,2019-07-22
13.600000381469727,2019-07-23
14.470000267028809,2019-07-24
13.510000228881836,2019-07-25
14.119999885559082,2019-07-26
13.6899995803833,2019-07-29
13.399999618530273,2019-07-30
13.100000381469727,2019-07-31
13.010000228881836,2019-08-01
12.729999542236328,2019-08-02
12.260000228881836,2019-08-05
12.289999961853027,2019-08-06
12.850000381469727,2019-08-07
13.1899995803833,2019-08-08
13.329999923706055,2019-08-09
13.020000457763672,2019-08-12
13.300000190734863,2019-08-13
12.739999771118164,2019-08-14
12.670000076293945,2019-08-15
13.15999984741211,2019-08-16
13.399999618530273,2019-08-19
14.149999618530273,2019-08-20
14.289999961853027,2019-08-21
14.15999984741211,2019-08-22
13.880000114440918,2019-08-23
14.970000267028809,2019-08-26
14.510000228881836,2019-08-27
14.819999694824219,2019-08-28
15.180000305175781,2019-08-29
15.729999542236328,2019-08-30
14.880000114440918,2019-09-03
15.420000076293945,2019-09-04
15.529999732971191,2019-09-05
15.880000114440918,2019-09-06
16.030000686645508,2019-09-09
17.09000015258789,2019-09-10
15.920000076293945,2019-09-11
16.399999618530273,2019-09-12
16.709999084472656,2019-09-13
17.049999237060547,2019-09-16
17.65999984741211,2019-09-17
17.780000686645508,2019-09-18
17.899999618530273,2019-09-19
18.06999969482422,2019-09-20
17.829999923706055,2019-09-23
17.81999969482422,2019-09-24
17.18000030517578,2019-09-25
16.34000015258789,2019-09-26
15.899999618530273,2019-09-27
15.920000076293945,2019-09-30
14.8100004196167,2019-10-01
14.859999656677246,2019-10-02
15.069999694824219,2019-10-03
15.510000228881836,2019-10-04
15.470000267028809,2019-10-07
15.3100004196167,2019-10-08
14.199999809265137,2019-10-09
14.15999984741211,2019-10-10
14.055000305175781,2019-10-11
13.930000305175781,2019-10-14
14.329999923706055,2019-10-15
14.149999618530273,2019-10-16
14.539999961853027,2019-10-17
14.8100004196167,2019-10-18
15.5,2019-10-21
15.920000076293945,2019-10-22
16.899999618530273,2019-10-23
16.59000015258789,2019-10-24
17.010000228881836,2019-10-25
17.030000686645508,2019-10-28
16.989999771118164,2019-10-29
17.139999389648438,2019-10-30
16.75,2019-10-31
15.65999984741211,2019-11-01
16.799999237060547,2019-11-04
16.889999389648438,2019-11-05
16.1299991607666,2019-11-06
17.5,2019-11-07
17.489999771118164,2019-11-08
17.399999618530273,2019-11-11
17.989999771118164,2019-11-12
18.25,2019-11-13
18.34000015258789,2019-11-14
19.3700008392334,2019-11-15
19.450000762939453,2019-11-18
19.360000610351562,2019-11-19
20.18000030517578,2019-11-20
20.200000762939453,2019-11-21
20.690000534057617,2019-11-22
20.0,2019-11-25
20.329999923706055,2019-11-26
20.3700008392334,2019-11-27
20.360000610351562,2019-11-29
19.760000228881836,2019-12-02
21.280000686645508,2019-12-03
21.270000457763672,2019-12-04
20.639999389648438,2019-12-05
18.940000534057617,2019-12-06
18.780000686645508,2019-12-09
18.8700008392334,2019-12-10
18.649999618530273,2019-12-11
18.450000762939453,2019-12-12
18.6200008392334,2019-12-13
18.520000457763672,2019-12-16
18.440000534057617,2019-12-17
18.639999389648438,2019-12-18
19.40999984741211,2019-12-19
19.829999923706055,2019-12-20
19.700000762939453,2019-12-23
19.75,2019-12-24
19.860000610351562,2019-12-26
19.520000457763672,2019-12-27
19.049999237060547,2019-12-30
19.559999465942383,2019-12-31
19.229999542236328,2020-01-02
18.889999389648438,2020-01-03
18.1299991607666,2020-01-06
17.780000686645508,2020-01-07
17.979999542236328,2020-01-08
18.399999618530273,2020-01-09
19.139999389648438,2020-01-10
20.260000228881836,2020-01-13
20.0,2020-01-14
20.239999771118164,2020-01-15
21.010000228881836,2020-01-16
20.6200008392334,2020-01-17
20.940000534057617,2020-01-21
21.969999313354492,2020-01-22
21.469999313354492,2020-01-23
21.1200008392334,2020-01-24
22.739999771118164,2020-01-27
22.360000610351562,2020-01-28
20.549999237060547,2020-01-29
20.989999771118164,2020-01-30
20.510000228881836,2020-01-31
20.3799991607666,2020-02-03
20.8700008392334,2020-02-04
20.049999237060547,2020-02-05
19.8799991607666,2020-02-06
23.239999771118164,2020-02-07
23.649999618530273,2020-02-10
21.350000381469727,2020-02-11
19.010000228881836,2020-02-12
19.045000076293945,2020-02-13
19.0,2020-02-14
18.90999984741211,2020-02-18
18.920000076293945,2020-02-19
18.540000915527344,2020-02-20
18.229999542236328,2020-02-21
18.59000015258789,2020-02-24
23.760000228881836,2020-02-25
29.15999984741211,2020-02-26
26.15999984741211,2020-02-27
25.93000030517578,2020-02-28
29.8799991607666,2020-03-02
27.90999984741211,2020-03-03
27.489999771118164,2020-03-04
28.010000228881836,2020-03-05
29.610000610351562,2020-03-06
24.290000915527344,2020-03-09
22.34000015258789,2020-03-10
23.610000610351562,2020-03-11
22.299999237060547,2020-03-12
21.299999237060547,2020-03-13
26.489999771118164,2020-03-16
28.18000030517578,2020-03-17
31.579999923706055,2020-03-18
28.270000457763672,2020-03-19
28.200000762939453,2020-03-20
26.56999969482422,2020-03-23
25.81999969482422,2020-03-24
27.1299991607666,2020-03-25
27.940000534057617,2020-03-26
30.049999237060547,2020-03-27
30.479999542236328,2020-03-30
29.950000762939453,2020-03-31
29.670000076293945,2020-04-01
33.20000076293945,2020-04-02
34.84000015258789,2020-04-03
