VXRT,Date
17.049999237060547,2016-05-10
17.15999984741211,2016-05-11
16.5,2016-05-12
16.940000534057617,2016-05-13
17.15999984741211,2016-05-16
17.270000457763672,2016-05-17
17.489999771118164,2016-05-18
17.600000381469727,2016-05-19
17.600000381469727,2016-05-20
17.81999969482422,2016-05-23
17.3799991607666,2016-05-24
17.600000381469727,2016-05-25
17.489999771118164,2016-05-26
15.949999809265137,2016-05-27
16.170000076293945,2016-05-31
16.280000686645508,2016-06-01
15.949999809265137,2016-06-02
16.059999465942383,2016-06-03
16.280000686645508,2016-06-06
16.059999465942383,2016-06-07
16.5,2016-06-08
15.949999809265137,2016-06-09
15.729999542236328,2016-06-10
15.84000015258789,2016-06-13
15.180000305175781,2016-06-14
15.399999618530273,2016-06-15
15.949999809265137,2016-06-16
15.84000015258789,2016-06-17
15.510000228881836,2016-06-20
15.289999961853027,2016-06-21
15.399999618530273,2016-06-22
15.180000305175781,2016-06-23
15.289999961853027,2016-06-24
15.289999961853027,2016-06-27
15.289999961853027,2016-06-28
15.729999542236328,2016-06-29
15.399999618530273,2016-06-30
15.399999618530273,2016-07-01
15.619999885559082,2016-07-05
15.399999618530273,2016-07-06
15.399999618530273,2016-07-07
15.399999618530273,2016-07-08
15.729999542236328,2016-07-11
15.729999542236328,2016-07-12
15.949999809265137,2016-07-13
15.84000015258789,2016-07-14
15.180000305175781,2016-07-15
15.180000305175781,2016-07-18
15.180000305175781,2016-07-19
15.399999618530273,2016-07-20
15.289999961853027,2016-07-21
14.960000038146973,2016-07-22
15.069999694824219,2016-07-25
15.069999694824219,2016-07-26
14.739999771118164,2016-07-27
14.960000038146973,2016-07-28
15.069999694824219,2016-07-29
14.850000381469727,2016-08-01
14.739999771118164,2016-08-02
14.630000114440918,2016-08-03
14.630000114440918,2016-08-04
14.520000457763672,2016-08-05
15.399999618530273,2016-08-08
14.850000381469727,2016-08-09
14.739999771118164,2016-08-10
14.300000190734863,2016-08-11
14.850000381469727,2016-08-12
14.850000381469727,2016-08-15
14.739999771118164,2016-08-16
14.850000381469727,2016-08-17
15.399999618530273,2016-08-18
15.399999618530273,2016-08-19
15.399999618530273,2016-08-22
15.619999885559082,2016-08-23
15.399999618530273,2016-08-24
