REGN,Date
368.1600036621094,2017-01-13
363.239990234375,2017-01-17
362.95001220703125,2017-01-18
363.4100036621094,2017-01-19
362.55999755859375,2017-01-20
354.3599853515625,2017-01-23
347.9599914550781,2017-01-24
348.92999267578125,2017-01-25
340.75,2017-01-26
346.5,2017-01-27
344.5,2017-01-30
359.2900085449219,2017-01-31
364.1700134277344,2017-02-01
360.55999755859375,2017-02-02
358.260009765625,2017-02-03
362.0,2017-02-06
357.69000244140625,2017-02-07
353.25,2017-02-08
360.0,2017-02-09
359.8699951171875,2017-02-10
375.6600036621094,2017-02-13
376.5199890136719,2017-02-14
384.0,2017-02-15
373.0199890136719,2017-02-16
371.17999267578125,2017-02-17
371.6099853515625,2017-02-21
370.2200012207031,2017-02-22
360.9599914550781,2017-02-23
361.010009765625,2017-02-24
373.04998779296875,2017-02-27
373.5,2017-02-28
379.04998779296875,2017-03-01
375.8599853515625,2017-03-02
378.6600036621094,2017-03-03
381.92999267578125,2017-03-06
372.5199890136719,2017-03-07
381.3699951171875,2017-03-08
390.1400146484375,2017-03-09
388.2300109863281,2017-03-10
388.8800048828125,2017-03-13
391.1000061035156,2017-03-14
397.79998779296875,2017-03-15
392.5899963378906,2017-03-16
380.2900085449219,2017-03-17
382.0199890136719,2017-03-20
370.9800109863281,2017-03-21
369.1400146484375,2017-03-22
365.0199890136719,2017-03-23
373.0,2017-03-24
383.67999267578125,2017-03-27
382.54998779296875,2017-03-28
394.1400146484375,2017-03-29
386.17999267578125,2017-03-30
387.510009765625,2017-03-31
383.19000244140625,2017-04-03
382.9200134277344,2017-04-04
377.3599853515625,2017-04-05
379.4800109863281,2017-04-06
380.54998779296875,2017-04-07
373.260009765625,2017-04-10
367.07000732421875,2017-04-11
366.3299865722656,2017-04-12
370.3699951171875,2017-04-13
373.45001220703125,2017-04-17
366.05999755859375,2017-04-18
370.9599914550781,2017-04-19
376.3999938964844,2017-04-20
370.1199951171875,2017-04-21
371.92999267578125,2017-04-24
372.32000732421875,2017-04-25
371.3900146484375,2017-04-26
366.6199951171875,2017-04-27
388.489990234375,2017-04-28
396.1700134277344,2017-05-01
402.0400085449219,2017-05-02
407.0299987792969,2017-05-03
434.30999755859375,2017-05-04
429.0,2017-05-05
423.3800048828125,2017-05-08
427.17999267578125,2017-05-09
431.57000732421875,2017-05-10
440.42999267578125,2017-05-11
442.04998779296875,2017-05-12
450.4100036621094,2017-05-15
454.75,2017-05-16
446.7200012207031,2017-05-17
457.3299865722656,2017-05-18
450.010009765625,2017-05-19
460.989990234375,2017-05-22
461.3699951171875,2017-05-23
