GILD,Date
72.9278793334961,2016-05-20
73.53677368164062,2016-05-23
76.08714294433594,2016-05-24
76.34305572509766,2016-05-25
75.26642608642578,2016-05-26
75.73414611816406,2016-05-27
76.8283920288086,2016-05-31
76.40483093261719,2016-06-01
76.52838134765625,2016-06-02
76.02535247802734,2016-06-03
77.3049545288086,2016-06-06
77.21670532226562,2016-06-07
77.14610290527344,2016-06-08
75.69001007080078,2016-06-09
74.52513885498047,2016-06-10
74.11039733886719,2016-06-13
74.16362762451172,2016-06-14
73.69329071044922,2016-06-15
74.11040496826172,2016-06-16
73.34718322753906,2016-06-17
73.64891052246094,2016-06-20
72.58396911621094,2016-06-21
73.16969299316406,2016-06-22
73.98614501953125,2016-06-23
71.41255950927734,2016-06-24
69.44244384765625,2016-06-27
73.04545593261719,2016-06-28
73.00995635986328,2016-06-29
74.030517578125,2016-06-30
75.30842590332031,2016-07-01
74.44761657714844,2016-07-05
76.08051300048828,2016-07-06
75.84978485107422,2016-07-07
76.80821228027344,2016-07-08
76.5419692993164,2016-07-11
76.87920379638672,2016-07-12
76.09825134277344,2016-07-13
75.9118881225586,2016-07-14
76.91468048095703,2016-07-15
77.14543914794922,2016-07-18
75.82315063476562,2016-07-19
76.90583801269531,2016-07-20
77.42056274414062,2016-07-21
76.80821228027344,2016-07-22
78.58309173583984,2016-07-25
71.92727661132812,2016-07-26
72.58396911621094,2016-07-27
72.09588623046875,2016-07-28
70.52510070800781,2016-07-29
71.40369415283203,2016-08-01
70.61386108398438,2016-08-02
71.07532501220703,2016-08-03
70.79133605957031,2016-08-04
71.35931396484375,2016-08-05
70.76473236083984,2016-08-08
70.40087127685547,2016-08-09
70.01927947998047,2016-08-10
70.61386108398438,2016-08-11
70.69375610351562,2016-08-12
70.68485260009766,2016-08-15
70.32988739013672,2016-08-16
71.61666107177734,2016-08-17
71.51905059814453,2016-08-18
71.88290405273438,2016-08-19
71.8119125366211,2016-08-22
72.30001068115234,2016-08-23
71.4391860961914,2016-08-24
71.06645965576172,2016-08-25
70.79133605957031,2016-08-26
69.3714370727539,2016-08-29
69.14956665039062,2016-08-30
69.55780792236328,2016-08-31
68.70586395263672,2016-09-01
68.23551177978516,2016-09-02
69.11408996582031,2016-09-06
69.41580200195312,2016-09-07
70.0991439819336,2016-09-08
69.26493072509766,2016-09-09
69.97489929199219,2016-09-12
69.2738037109375,2016-09-13
69.30060577392578,2016-09-14
70.38983917236328,2016-09-15
70.35414123535156,2016-09-16
70.52376556396484,2016-09-19
73.01473999023438,2016-09-20
72.94329833984375,2016-09-21
72.78260803222656,2016-09-22
72.648681640625,2016-09-23
71.97907257080078,2016-09-26
70.75590515136719,2016-09-27
