TBIO,Date
11.680000305175781,2019-04-02
12.210000038146973,2019-04-03
11.8100004196167,2019-04-04
12.949999809265137,2019-04-05
13.119999885559082,2019-04-08
12.710000038146973,2019-04-09
12.359999656677246,2019-04-10
11.970000267028809,2019-04-11
11.899999618530273,2019-04-12
11.34000015258789,2019-04-15
11.229999542236328,2019-04-16
10.34000015258789,2019-04-17
9.989999771118164,2019-04-18
9.880000114440918,2019-04-22
9.75,2019-04-23
9.399999618530273,2019-04-24
9.260000228881836,2019-04-25
9.9399995803833,2019-04-26
9.9399995803833,2019-04-29
9.699999809265137,2019-04-30
9.369999885559082,2019-05-01
9.350000381469727,2019-05-02
9.359999656677246,2019-05-03
9.3100004196167,2019-05-06
9.130000114440918,2019-05-07
9.329999923706055,2019-05-08
9.270000457763672,2019-05-09
