GSK,Date
31.9088134765625,2016-11-30
31.604841232299805,2016-12-01
31.832815170288086,2016-12-02
31.807483673095703,2016-12-05
31.824369430541992,2016-12-06
31.706161499023438,2016-12-07
31.571062088012695,2016-12-08
31.9088134765625,2016-12-09
31.934141159057617,2016-12-12
32.46609878540039,2016-12-13
32.05234909057617,2016-12-14
32.18745040893555,2016-12-15
32.54208755493164,2016-12-16
32.34788131713867,2016-12-19
32.33943557739258,2016-12-20
32.195899963378906,2016-12-21
32.32255172729492,2016-12-22
32.381656646728516,2016-12-23
32.32255172729492,2016-12-27
32.22122573852539,2016-12-28
32.45764923095703,2016-12-29
32.516754150390625,2016-12-30
32.79540252685547,2017-01-03
33.006492614746094,2017-01-04
33.54689407348633,2017-01-05
33.25136184692383,2017-01-06
33.2935791015625,2017-01-09
33.21759033203125,2017-01-10
32.972721099853516,2017-01-11
32.93894577026367,2017-01-12
33.11626434326172,2017-01-13
33.183815002441406,2017-01-17
32.83761978149414,2017-01-18
32.71940994262695,2017-01-19
32.69407653808594,2017-01-20
32.862945556640625,2017-01-23
32.702518463134766,2017-01-24
32.82917404174805,2017-01-25
32.77851486206055,2017-01-26
32.702518463134766,2017-01-27
32.93050765991211,2017-01-30
33.1922607421875,2017-01-31
33.318904876708984,2017-02-01
33.183815002441406,2017-02-02
33.20069885253906,2017-02-03
33.40334701538086,2017-02-06
33.318904876708984,2017-02-07
33.563777923583984,2017-02-08
33.79175567626953,2017-02-09
34.01129150390625,2017-02-10
33.76643371582031,2017-02-13
33.86774826049805,2017-02-14
34.256160736083984,2017-02-15
34.55168914794922,2017-02-16
34.906333923339844,2017-02-17
35.15120315551758,2017-02-21
35.12649917602539,2017-02-22
35.520320892333984,2017-02-23
35.58024978637695,2017-02-24
35.588802337646484,2017-02-27
35.51175308227539,2017-02-28
35.426143646240234,2017-03-01
35.66585922241211,2017-03-02
35.94838333129883,2017-03-03
35.802833557128906,2017-03-06
35.47750473022461,2017-03-07
35.21211624145508,2017-03-08
35.48607635498047,2017-03-09
35.41758346557617,2017-03-10
35.65729904174805,2017-03-13
35.72578048706055,2017-03-14
35.95693588256836,2017-03-15
36.17952346801758,2017-03-16
36.188087463378906,2017-03-17
36.23089599609375,2017-03-20
36.23089599609375,2017-03-21
36.196651458740234,2017-03-22
36.22233581542969,2017-03-23
36.22233581542969,2017-03-24
36.54766082763672,2017-03-27
36.30794143676758,2017-03-28
36.58190155029297,2017-03-29
36.36787414550781,2017-03-30
36.09391403198242,2017-03-31
35.98262023925781,2017-04-03
35.99118423461914,2017-04-04
35.89700698852539,2017-04-05
35.46038818359375,2017-04-06
35.50320053100586,2017-04-07
35.35765838623047,2017-04-10
35.768592834472656,2017-04-11
35.83708190917969,2017-04-12
35.794281005859375,2017-04-13
35.81996536254883,2017-04-17
35.34053421020508,2017-04-18
34.96384048461914,2017-04-19
34.85254669189453,2017-04-20
34.9124641418457,2017-04-21
35.20355224609375,2017-04-24
35.51175308227539,2017-04-25
34.826866149902344,2017-04-26
34.9124641418457,2017-04-27
35.01520919799805,2017-04-28
34.95528030395508,2017-05-01
35.46038818359375,2017-05-02
35.23780059814453,2017-05-03
35.74291229248047,2017-05-04
35.768592834472656,2017-05-05
35.70009994506836,2017-05-08
35.89700698852539,2017-05-09
36.624961853027344,2017-05-10
36.910823822021484,2017-05-11
37.47389221191406,2017-05-12
37.58649826049805,2017-05-15
37.61248016357422,2017-05-16
37.44789505004883,2017-05-17
37.45656204223633,2017-05-18
37.76840591430664,2017-05-19
37.50853729248047,2017-05-22
37.214012145996094,2017-05-23
37.205352783203125,2017-05-24
36.87616729736328,2017-05-25
36.962799072265625,2017-05-26
37.603824615478516,2017-05-30
38.314144134521484,2017-05-31
38.366127014160156,2017-06-01
38.43541717529297,2017-06-02
38.26216506958008,2017-06-05
38.13222885131836,2017-06-06
38.09758377075195,2017-06-07
37.9329948425293,2017-06-08
37.690452575683594,2017-06-09
37.569175720214844,2017-06-12
37.50853729248047,2017-06-13
37.785736083984375,2017-06-14
37.62114715576172,2017-06-15
37.95899200439453,2017-06-16
37.92433547973633,2017-06-19
37.57783889770508,2017-06-20
37.785736083984375,2017-06-21
38.25351333618164,2017-06-22
38.366127014160156,2017-06-23
38.1755485534668,2017-06-26
38.03694534301758,2017-06-27
37.85504150390625,2017-06-28
37.47389221191406,2017-06-29
37.35261154174805,2017-06-30
37.0494270324707,2017-07-03
36.954139709472656,2017-07-05
36.607635498046875,2017-07-06
36.607635498046875,2017-07-07
36.5643196105957,2017-07-10
36.391075134277344,2017-07-11
36.83285903930664,2017-07-12
36.8155403137207,2017-07-13
37.032100677490234,2017-07-14
36.607635498046875,2017-07-17
36.75490188598633,2017-07-18
36.74623489379883,2017-07-19
37.0494270324707,2017-07-20
36.954139709472656,2017-07-21
36.59031295776367,2017-07-24
36.34776306152344,2017-07-25
35.386226654052734,2017-07-26
35.29960632324219,2017-07-27
35.45553207397461,2017-07-28
35.100364685058594,2017-07-31
35.1783332824707,2017-08-01
35.29960632324219,2017-08-02
35.24763107299805,2017-08-03
35.10902786254883,2017-08-04
34.909793853759766,2017-08-07
34.77986145019531,2017-08-08
34.67549514770508,2017-08-09
34.12286376953125,2017-08-10
34.02637481689453,2017-08-11
34.21935272216797,2017-08-14
34.166725158691406,2017-08-15
34.421112060546875,2017-08-16
34.25444412231445,2017-08-17
33.99128341674805,2017-08-18
33.92987823486328,2017-08-21
34.324623107910156,2017-08-22
34.49128341674805,2017-08-23
34.61408615112305,2017-08-24
34.622859954833984,2017-08-25
34.61408615112305,2017-08-28
34.49128341674805,2017-08-29
34.85970687866211,2017-08-30
35.28953170776367,2017-08-31
35.26321792602539,2017-09-01
34.99128341674805,2017-09-05
35.087772369384766,2017-09-06
35.2193603515625,2017-09-07
35.13163375854492,2017-09-08
35.324615478515625,2017-09-11
35.41233444213867,2017-09-12
35.17549133300781,2017-09-13
35.39479446411133,2017-09-14
35.29830551147461,2017-09-15
35.13163375854492,2017-09-18
35.01759719848633,2017-09-19
35.245670318603516,2017-09-20
35.377254486083984,2017-09-21
35.59654998779297,2017-09-22
35.657955169677734,2017-09-25
35.44742202758789,2017-09-26
35.42988204956055,2017-09-27
35.42110824584961,2017-09-28
35.61409378051758,2017-09-29
35.886024475097656,2017-10-02
35.9123420715332,2017-10-03
35.78953170776367,2017-10-04
35.66672134399414,2017-10-05
35.62286376953125,2017-10-06
35.61409378051758,2017-10-09
35.7719841003418,2017-10-10
35.842159271240234,2017-10-11
35.98250961303711,2017-10-12
35.97373962402344,2017-10-13
35.842159271240234,2017-10-16
35.81584930419922,2017-10-17
35.97373962402344,2017-10-18
36.05268859863281,2017-10-19
35.82461929321289,2017-10-20
35.63163757324219,2017-10-23
35.50882339477539,2017-10-24
33.50005340576172,2017-10-25
32.105316162109375,2017-10-26
31.7807559967041,2017-10-27
32.184261322021484,2017-10-30
31.956192016601562,2017-10-31
31.75443458557129,2017-11-01
31.535140991210938,2017-11-02
31.7105770111084,2017-11-03
31.701805114746094,2017-11-06
31.42110252380371,2017-11-07
32.00005340576172,2017-11-08
31.825838088989258,2017-11-09
31.407649993896484,2017-11-10
31.220809936523438,2017-11-13
31.12293815612793,2017-11-14
31.033966064453125,2017-11-15
31.309782028198242,2017-11-16
31.194120407104492,2017-11-17
31.24749755859375,2017-11-20
30.9716854095459,2017-11-21
31.194120407104492,2017-11-22
31.17632293701172,2017-11-24
31.63008689880371,2017-11-27
31.959291458129883,2017-11-28
31.558910369873047,2017-11-29
31.194120407104492,2017-11-30
31.425451278686523,2017-12-01
31.140731811523438,2017-12-04
31.016170501708984,2017-12-05
30.838220596313477,2017-12-06
30.998380661010742,2017-12-07
31.2919864654541,2017-12-08
31.416555404663086,2017-12-11
31.603403091430664,2017-12-12
