JNJ,Date
115.2079849243164,2017-04-05
115.43875122070312,2017-04-06
115.31875610351562,2017-04-07
114.78330993652344,2017-04-10
114.67253875732422,2017-04-11
115.76184844970703,2017-04-12
115.38336181640625,2017-04-13
116.05725860595703,2017-04-17
112.4570083618164,2017-04-18
112.04158782958984,2017-04-19
112.50316619873047,2017-04-20
112.401611328125,2017-04-21
113.44476318359375,2017-04-24
113.94325256347656,2017-04-25
114.0171127319336,2017-04-26
114.22943115234375,2017-04-27
113.98018646240234,2017-04-28
113.86018371582031,2017-05-01
114.1925048828125,2017-05-02
113.85093688964844,2017-05-03
114.42328643798828,2017-05-04
114.0171127319336,2017-05-05
113.77709197998047,2017-05-08
113.74018096923828,2017-05-09
113.37091064453125,2017-05-10
113.73092651367188,2017-05-11
114.13711547851562,2017-05-12
117.2296371459961,2017-05-15
117.9496841430664,2017-05-16
116.93424224853516,2017-05-17
117.211181640625,2017-05-18
117.23887634277344,2017-05-19
117.47889709472656,2017-05-22
117.71888732910156,2017-05-23
117.70967864990234,2017-05-24
118.50884246826172,2017-05-25
117.94197845458984,2017-05-26
118.1185531616211,2017-05-30
119.17791748046875,2017-05-31
119.6704330444336,2017-06-01
120.87846374511719,2017-06-02
121.13866424560547,2017-06-05
121.57540893554688,2017-06-06
121.5010757446289,2017-06-07
121.3152084350586,2017-06-08
122.22589111328125,2017-06-09
122.49537658691406,2017-06-12
122.6812515258789,2017-06-13
123.378173828125,2017-06-14
123.62908172607422,2017-06-15
124.8464126586914,2017-06-16
124.58622741699219,2017-06-19
124.7256088256836,2017-06-20
125.3668212890625,2017-06-21
126.4261703491211,2017-06-22
126.7792739868164,2017-06-23
126.69562530517578,2017-06-26
125.45972442626953,2017-06-27
124.35391235351562,2017-06-28
123.25737762451172,2017-06-29
122.93212890625,2017-06-30
123.49898529052734,2017-07-03
124.18663787841797,2017-07-05
123.14586639404297,2017-07-06
123.1644515991211,2017-07-07
122.2444839477539,2017-07-10
121.94711303710938,2017-07-11
122.87635803222656,2017-07-12
122.53256225585938,2017-07-13
123.22021484375,2017-07-14
122.80201721191406,2017-07-17
124.9486312866211,2017-07-18
125.6456069946289,2017-07-19
126.90938568115234,2017-07-20
125.73851013183594,2017-07-21
123.60121154785156,2017-07-24
122.55115509033203,2017-07-25
121.68692016601562,2017-07-26
121.57540893554688,2017-07-27
122.52326965332031,2017-07-28
123.33171081542969,2017-07-31
123.13656616210938,2017-08-01
122.81131744384766,2017-08-02
123.91715240478516,2017-08-03
123.7591552734375,2017-08-04
123.4618148803711,2017-08-07
122.91354370117188,2017-08-08
123.80564880371094,2017-08-09
123.67552947998047,2017-08-10
123.68484497070312,2017-08-11
124.03797149658203,2017-08-14
123.94503784179688,2017-08-15
124.67915344238281,2017-08-16
123.62908172607422,2017-08-17
123.24808502197266,2017-08-18
124.01008605957031,2017-08-21
125.17164611816406,2017-08-22
123.40605163574219,2017-08-23
123.48966979980469,2017-08-24
123.14366149902344,2017-08-25
123.19977569580078,2017-08-28
123.63932037353516,2017-08-29
122.57321166992188,2017-08-30
123.78893280029297,2017-08-31
122.53580474853516,2017-09-01
121.47907257080078,2017-09-05
122.19915008544922,2017-09-06
123.62061309814453,2017-09-07
122.4890365600586,2017-09-08
124.57447814941406,2017-09-11
124.0320816040039,2017-09-12
123.86376190185547,2017-09-13
125.48160552978516,2017-09-14
125.73408508300781,2017-09-15
126.60382843017578,2017-09-18
126.4542007446289,2017-09-19
124.58383178710938,2017-09-20
123.2091293334961,2017-09-21
122.87248992919922,2017-09-22
122.66671752929688,2017-09-25
122.4516372680664,2017-09-26
121.33879089355469,2017-09-27
121.07693481445312,2017-09-28
121.58192443847656,2017-09-29
122.7135009765625,2017-10-02
123.53646087646484,2017-10-03
124.27520751953125,2017-10-04
124.5557861328125,2017-10-05
124.58383178710938,2017-10-06
124.79895782470703,2017-10-09
125.2197494506836,2017-10-10
127.7914810180664,2017-10-11
127.95980834960938,2017-10-12
127.58574676513672,2017-10-13
127.29585266113281,2017-10-16
131.66311645507812,2017-10-17
131.56024169921875,2017-10-18
132.83204650878906,2017-10-19
133.16873168945312,2017-10-20
134.3096466064453,2017-10-23
